,assisted_housing_count,active_finance,gun incident count,% of adults < high school dip,avg unemploy rate 2015_2020,clusters,cluster
105,13,10,108,10.9,4.916666666666666,1,purple
106,2,2,5,9.2,3.8166666666666655,1,purple
107,3,3,21,11.8,4.333333333333333,1,purple
108,3,2,14,17.4,4.1,1,purple
109,5,5,4,14.2,4.283333333333334,1,purple
110,9,6,15,14.0,4.916666666666667,1,purple
111,1,0,3,16.2,6.15,1,purple
112,5,4,14,19.8,6.516666666666667,1,purple
113,9,5,152,13.9,6.066666666666666,1,purple
114,1,1,10,21.1,5.016666666666667,1,purple
115,1,1,2,20.3,5.933333333333334,1,purple
116,7,6,10,15.9,4.683333333333334,1,purple
117,3,1,3,24.2,5.5,1,purple
